id_parte,numero_oem,marca
M1049,D1060JD00A,NISSAN
M1049,D1080JE00A,NISSAN
M1049,D10603UB0A,NISSAN
M1049,41060JD00A,NISSAN
M1049,AY040NS132,NISSAN
M1049,D1M60JE00A,NISSAN
M1049,D10609N50A,NISSAN
M1049,D10609N00A,NISSAN
M1049,D1060JE00A,NISSAN
M1049,D1060JD00J,NISSAN
M1049,AY040NS152,NISSAN
M1049,D108MJE00J,NISSAN
M1049,D1M609N00A,NISSAN
M1049,D10609DF0A,NISSAN
M1049,D1083JE00A,NISSAN
M1049,AY040NS173,NISSAN
M1049,D1060ET01A,NISSAN
M1049,5581057L50,SUZUKI
M1049,5581057L00,SUZUKI
M1049,5581057L00000,SUZUKI
M1049,5581057L50000,SUZUKI
M1049,5581057L01,SUZUKI
M1049,5581057L02,SUZUKI
M1049,5581057L51,SUZUKI
M1049,101703619,EICHER
M1049,D10602GD0A,VENUCIA
M1049,P79028,BREMBO
M1049,402B0173,RIDEX
M1049,GDB3467,TRW